1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane1, 0.29,-0.29,,,0.05246876,1.644405,1.02258,,,0.05212645,1.642975,1.022669,,44.750001422956,43.180280561396,13.8322127080219, 1.221
PointBall3, 4.14,4.14,,,0.0659043,1.851983,1.24845,,,0.07257643,1.871458,1.250486,,1.25756607069473,18.8068348562757,19.7816821161747, 0.911
PointPlane3, 0.65,0.65,,,0.1454485,1.628114,0.9575212,,,0.1465422,1.631151,0.9571326,,59.7499809323891,55.2106783174512,20.8335687851257, 1.355
PointPyramid, 0.1,0.1,,,0.06865381,1.85552,1.271269,,,0.06886114,1.855978,1.271276,,48.527550136433,24.2445668692577,24.3130395137816, 0.99
PointBall2, 1.92,1.92,,,-0.1276887,1.696185,0.9798219,,,-0.1246932,1.705254,0.9790093,,52.6372987513276,60.8624479624977,18.8301479988115, 0.833
PointPlane2, 0.22,-0.22,,,-0.1116738,1.813766,1.280949,,,-0.112045,1.812712,1.281039,,29.7499911776726,31.2996005477812,19.8739169881599, 1.989
PointBall1, 0.49,0.49,,,0.2526512,1.77041,1.062535,,,0.2536605,1.772651,1.06236,,39.9627800235186,24.0909747021184,24.5169889567228, 0.878
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 5.82,-5.82,,,0.2594146,1.802886,1.059497,,,0.2471766,1.776718,1.062903,,39.0916645512054,20.9833309237944,25.8280949578407, 1.821
PointPyramid, 1.69,-1.69,,,0.06754477,1.867278,1.270174,,,0.06410867,1.859563,1.270135,,48.277076861255,53.0236859570176,24.0166724913, 1.243
PointBall3, 3.51,-3.51,,,0.07234424,1.886692,1.227664,,,0.06530792,1.870636,1.227459,,3.58774160370561,23.8898495423204,23.6815219482431, 1.046
